	City	Cloudiness	Country	Humidity	Max_Temp	Wind_speed	date	lat	lng
352	tongliao	0	CN	96	65.81	4.97	1535238502	43.61	122.27
353	iqaluit	75	CA	81	44.6	2.95	1535234400	63.75	-68.52
354	ballina	92	IE	85	51.95	10.11	1535238502	54.11	-9.15
355	mandalgovi	0	MN	95	49.79	12.24	1535238503	45.76	106.27
356	forssa	0	FI	100	48.2	3.96	1535237400	60.82	23.63
357	coquimbo	0	CL	76	53.6	8.05	1535238000	-29.95	-71.34
358	isangel	20	VU	100	73.19	16.6	1535238308	-19.55	169.27
359	hambantota	68	LK	99	79.94	17.05	1535238464	6.12	81.12
360	sidhi	100	IN	99	73.37	6.98	1535238504	24.41	81.88
361	cabedelo	75	BR	83	75.2	10.29	1535234400	-6.97	-34.84
362	beringovskiy	92	RU	100	49.52	9.66	1535238504	63.05	179.32
363	san cristobal	40	EC	36	64.4	11.41	1535234400	-0.39	-78.55
364	egvekinot	92	RU	100	39.89	3.06	1535238352	66.32	-179.17
365	batagay-alyta	0	RU	80	45.2	3.74	1535238373	67.8	130.41
366	harer	0	US	23	73.82	9.78	1535238505	42.19	-111.17
367	tessalit	48	ML	45	85.16	10.56	1535238505	20.2	1.01
368	humaita	0	AR	37	60.8	4.7	1535238000	-24.93	-65.37
369	chumikan	0	RU	81	64.37	2.17	1535238506	54.72	135.31
370	richards bay	0	ZA	67	68.15	9.1	1535238506	-28.77	32.06
371	adolfo lopez mateos	20	MX	39	95.33	3.96	1535238506	26.8	-109.39
372	takoradi	92	GH	95	75.44	7.76	1535238362	4.89	-1.75
373	benghazi	40	LY	83	78.8	5.82	1535236200	32.12	20.07
374	renfrew	76	GB	87	53.6	3.36	1535237400	55.88	-4.39
375	shahr-e babak	0	IR	25	67.43	10.67	1535238507	30.12	55.12
376	coahuayana	56	MX	76	75.62	2.62	1535238507	18.62	-100.35
377	broken hill	0	AU	58	55.82	5.97	1535238507	-31.97	141.45
378	punta alta	0	AR	35	57.2	9.17	1535234400	-27.46	-55.82
379	sompeta	92	IN	93	73.91	10.11	1535238508	18.93	84.6
380	roald	92	NO	87	48.2	4.7	1535235600	62.58	6.12
381	yarada	92	IN	100	80.66	21.52	1535238508	17.65	83.27
382	ode	92	NG	98	70.85	4.07	1535238509	7.79	5.71
383	padang	68	ID	100	79.22	4.63	1535238327	-0.92	100.36
